,ArtistId,Artist,Listeners,Scrobbles,Tag1,Tag2,Tag3,Tag4,Tag5
623,640295b7-f228-4016-8e89-28ea65ed1396,Extreme,652883,6644843,hard rock,rock,funk metal,hair metal,metal
624,1e4e9db7-5068-4a9c-bdd0-5777e47172c8,FKA twigs,525979,21265725,trip-hop,electronic,experimental,dream pop,art pop
625,8ef74994-73f6-459c-a10c-56a16e07b362,FKJ,184051,2409962,funk,electronic,downtempo,indie,pop
626,d2299099-e617-46dd-b013-ba0b4c72bc63,Fabolous,1539632,11878637,Hip-Hop,rap,hip hop,Gangsta Rap,new york
627,204db5a8-78f1-4078-801f-ae8f456eeb60,Fabrizio De André,147679,6214603,italian,singer-songwriter,folk,cantautori,italian songwriters
628,338bbb53-5b96-447a-9444-8906844a0790,Fairuz,71558,1623728,arabic,lebanese,female vocalists,world,Lebanon
629,ebcd0bad-75ef-4203-b7b3-7af38a9ef198,Faith Evans,482040,3051211,rnb,soul,female vocalists,Hip-Hop,pop
630,b15ebd71-a252-417d-9e1c-3e6863da68f8,Faith No More,1270592,45637687,alternative rock,rock,alternative,metal,seen live
631,dcd95aa4-f3ff-492d-a621-8518ada0f58b,Falco,484326,5809290,80s,pop,new wave,austrian,german
632,e3b4f527-de80-4604-af5b-e77df3900f3a,Falcons,43354,228892,electronic,psychobilly,r&b,old-school psychobilly,Hip-Hop
633,516cef4d-0718-4007-9939-f9b38af3f784,Fall Out Boy,2806613,152580033,pop punk,rock,emo,alternative,punk
634,,Fally Ipupa,10049,89132,congo,Congolese,african,soukous,World Music
635,,Falz,5869,45252,nigeria,electronica,rock,africa,World Music
636,1a4931bc-5c9a-4ddc-88d9-948566c5e370,Family of the Year,373466,3583226,folk,indie folk,indie,indie pop,folk pop
637,dc083bd6-41a3-436e-9e0a-28b4dc773820,Fastball,427213,3352290,rock,alternative,90s,alternative rock,pop
638,d451395a-f768-432e-bb70-d38c32baf4cb,Fat Freddy's Drop,296015,5931266,dub,reggae,New Zealand,chillout,seen live
639,c967edde-0449-4c25-bcfb-7e85d11c5307,Fat Joe,766570,5265080,rap,Hip-Hop,hip hop,east coast rap,Gangsta Rap
640,ba81eb4a-0c89-489f-9982-0154b8083a28,Fatboy Slim,1967284,34095737,electronic,big beat,dance,House,electronica
641,172053e5-a7fb-4548-a64d-c53858b5e775,Father John Misty,524859,19160406,folk,seen live,indie,indie folk,Alt-country
642,83a24c80-2d60-4ee3-82d6-760678e2cbd0,Fedez,22950,543042,rap,Electro Pop,italian,Italy,pop rap
643,f463a056-ae06-445b-bab2-449b11482bf2,Feist,1990866,69123340,female vocalists,indie,singer-songwriter,Canadian,indie pop
644,6514cffa-fbe0-4965-ad88-e998ead8a82a,Fela Kuti,305276,4313393,afrobeat,jazz,african,funk,world
645,930448f9-a67a-402f-bc73-2bf6b279afaa,Felix Jaehn,389413,4110134,House,electronic,german,Melodic House,dance
